Number,one_hot_Company_Acer,one_hot_Company_Apple,one_hot_Company_Asus,one_hot_Company_Chuwi,one_hot_Company_Dell,one_hot_Company_Fujitsu,one_hot_Company_Google,one_hot_Company_HP,one_hot_Company_Huawei,one_hot_Company_LG,one_hot_Company_Lenovo,one_hot_Company_MSI,one_hot_Company_Mediacom,one_hot_Company_Microsoft,one_hot_Company_Razer,one_hot_Company_Samsung,one_hot_Company_Toshiba,one_hot_Company_Vero,one_hot_Company_Xiaomi,one_hot_TypeName_2 in 1 Convertible,one_hot_TypeName_Gaming,one_hot_TypeName_Netbook,one_hot_TypeName_Notebook,one_hot_TypeName_Ultrabook,one_hot_TypeName_Workstation,Inches,Display,Touchscreen,ScreenArea,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,one_hot_OpSys_Android,one_hot_OpSys_Chrome OS,one_hot_OpSys_Linux,one_hot_OpSys_Mac OS X,one_hot_OpSys_No OS,one_hot_OpSys_Windows 10,one_hot_OpSys_Windows 10 S,one_hot_OpSys_Windows 7,one_hot_OpSys_macOS,Weight,Price
317,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.3,1,0,1049088,19,1.6,4,6,0,11,0,1,0,0,0,0,0,0,0,1.45,24503.472
318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,1.95,52214.4
319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.6,1,0,1049088,21,1.6,4,12,0,9,0,0,0,0,0,1,0,0,0,1.4,25840.8
320,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,55,2.7,8,17,0,45,0,0,0,0,0,1,0,0,0,1.48,68837.76
321,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,1,0,1440000,43,2.5,4,11,0,24,0,0,0,0,0,1,0,0,0,2.79,31381.92
322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,55,2.7,8,17,0,45,0,0,0,0,0,1,0,0,0,2.0,58288.32
323,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,5,0,1049088,52,1.8,8,11,0,51,0,0,0,0,0,1,0,0,0,2.1,48058.56
324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,41,2.7,8,17,0,22,0,0,0,0,0,1,0,0,0,2.2,35111.52
325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,1,0,1049088,12,1.1,4,4,0,3,0,0,0,0,0,1,0,0,0,1.44,15557.76
326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,43,2.5,6,11,0,45,0,0,0,0,0,1,0,0,0,2.23,29250.72
327,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,3,0,2073600,55,2.7,8,17,0,40,0,0,0,0,0,1,0,0,0,1.7,55938.672
328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.5,3,0,2073600,55,2.7,8,17,0,45,0,0,0,0,0,1,0,0,0,1.26,71128.8
329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,10,1,8294400,67,2.8,32,20,0,54,0,0,0,0,0,1,0,0,0,2.06,140605.91999999998
330,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.3,3,0,2073600,67,2.8,8,17,5,58,0,0,0,0,0,1,0,0,0,2.7,63882.72
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15.6,5,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,2.0,50243.04
332,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,55,2.7,8,17,5,45,0,0,0,0,0,1,0,0,0,2.0,71075.52
333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,27,2.0,4,11,0,34,0,0,0,0,0,1,0,0,0,1.85,23922.72
334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,3,0,2073600,67,2.8,8,17,0,54,0,0,0,0,0,1,0,0,0,2.5,53226.72
335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.0,3,0,2073600,53,2.6,8,17,0,45,0,0,0,0,0,1,0,0,0,1.48,67559.04
336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.6,5,0,2073600,45,1.6,8,14,5,40,0,0,0,0,0,1,0,0,0,1.9,55890.72
337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,43,2.5,8,17,0,45,0,0,0,0,0,1,0,0,0,1.84,60952.32
338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,12,1.1,4,11,0,3,0,0,1,0,0,0,0,0,0,2.0,14651.4672
339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,45,1.6,8,17,0,40,0,0,0,0,0,1,0,0,0,2.0,60885.72
340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,1,0,1049088,10,1.6,4,9,0,7,0,0,1,0,0,0,0,0,0,2.2,14646.672
341,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,3,0,2073600,41,3.6,12,10,0,38,0,0,0,0,0,1,0,0,0,2.2,47898.72
342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.6,5,0,2073600,34,2.4,8,11,0,44,0,0,0,0,0,1,0,0,0,2.1,38148.48
343,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.9,9,1,8294400,52,1.8,16,19,0,51,0,0,0,0,0,1,0,0,0,1.4,111834.72
344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.3,3,0,2073600,52,1.8,8,17,0,51,0,0,0,0,0,1,0,0,0,1.2,84129.12
345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.6,5,0,2073600,67,2.8,16,17,4,58,0,0,0,0,0,1,0,0,0,2.4,60153.12
